station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes
S12,1970,155,levent-00337,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1533977
S12,1971,066,levent-00861,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S12,1971,184,levent-01496,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S12,1971,365,levent-02604,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S12,1972,158,levent-03639,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S12,1972,170,levent-03786,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S12,1973,047,levent-05953,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S12,1973,165,levent-06546,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S12,1974,069,levent-07837,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S12,1974,092,levent-07927,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S12,1974,246,levent-08466,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S12,1974,252,levent-08492,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S12,1976,220,levent-10918,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S12,1977,090,levent-11964,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S12,1977,113,levent-12117,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881
S12,1977,119,levent-12187,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S14,1971,059,levent-00838,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S14,1971,072,levent-00892,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S14,1971,303,levent-02131,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1533977
S14,1972,046,levent-02796,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S14,1972,167,levent-03770,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S14,1974,040,levent-07657,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S14,1974,096,levent-07930,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S14,1974,246,levent-08466,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S14,1974,303,levent-08667,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S14,1974,360,levent-08870,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S14,1975,188,levent-09431,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881
S14,1976,209,levent-10837,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881
S14,1976,246,levent-11038,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S14,1976,280,levent-11191,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1542169
S14,1977,121,levent-12227,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S14,1977,236,levent-12900,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S15,1972,271,levent-04800,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1533977
S15,1972,278,levent-04835,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1973,280,levent-07147,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S15,1974,193,levent-08273,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S15,1974,295,levent-08634,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1974,328,levent-08762,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S15,1974,330,levent-08767,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1975,016,levent-08919,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1975,079,levent-09107,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1542169
S15,1975,171,levent-09343,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1975,361,levent-09963,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S15,1976,075,levent-10229,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1976,136,levent-10495,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1977,017,levent-11666,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1977,111,levent-12112,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881
S15,1977,115,levent-12124,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881
S16,1972,156,levent-03617,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1972,236,levent-04504,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1972,263,levent-04716,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1505305
S16,1972,269,levent-04786,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1973,264,levent-07080,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1974,071,levent-07847,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S16,1974,119,levent-08023,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1161241
S16,1974,330,levent-08768,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1975,020,levent-08925,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S16,1975,105,levent-09181,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1975,272,levent-09664,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1975,348,levent-09924,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S16,1975,358,levent-09956,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S16,1977,117,levent-12159,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S16,1977,143,levent-12381,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1977,206,levent-12782,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1533977
