event_id,source_group,year,doy,start_time_utc,reported_stations,station_basis,positive_pds_sp_stations,pds_match_event_key,pds_match_type_code,reconciliation_status
YN-SMQ-1,legacy_yn,1971,107,07:04:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15,levent-01122,H,exact_year_doy_start_minute_match
YN-SMQ-2,legacy_yn,1971,140,17:29:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15,levent-01264,H,exact_year_doy_start_minute_match
YN-SMQ-3,legacy_yn,1971,192,13:27:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15,levent-01555,H,exact_year_doy_start_minute_match
YN-SMQ-4,legacy_yn,1972,002,22:32:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15,levent-02616,H,exact_year_doy_start_minute_match
YN-SMQ-5,legacy_yn,1972,261,14:38:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14,levent-04679,H,exact_year_doy_start_minute_match
YN-SMQ-6,legacy_yn,1972,341,23:10:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-05446,H,exact_year_doy_start_minute_match
YN-SMQ-7,legacy_yn,1972,344,03:52:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,,levent-05469,H,exact_year_doy_start_minute_match
YN-SMQ-8,legacy_yn,1973,039,22:53:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,,levent-05861,H,exact_year_doy_start_minute_match
YN-SMQ-9,legacy_yn,1973,072,08:01:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-06051,H,exact_year_doy_start_minute_match
YN-SMQ-10,legacy_yn,1973,171,20:25:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S15;S16,levent-06567,H,exact_year_doy_start_minute_match
YN-SMQ-11,legacy_yn,1973,274,04:00:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S15;S16,levent-07098,H,exact_year_doy_start_minute_match
YN-SMQ-12,legacy_yn,1974,054,21:17:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,,levent-07746,H,exact_year_doy_start_minute_match
YN-SMQ-13,legacy_yn,1974,086,09:11:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S16,levent-07913,H,exact_year_doy_start_minute_match
YN-SMQ-14,legacy_yn,1974,109,13:39:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S16,levent-07980,H,exact_year_doy_start_minute_match
YN-SMQ-15,legacy_yn,1974,149,20:45:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,,levent-08140,H,exact_year_doy_start_minute_match
YN-SMQ-16,legacy_yn,1974,192,00:52:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-08269,H,exact_year_doy_start_minute_match
YN-SMQ-17,legacy_yn,1975,003,01:47:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-08889,H,exact_year_doy_start_minute_match
YN-SMQ-18,legacy_yn,1975,012,03:17:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-08913,H,exact_year_doy_start_minute_match
YN-SMQ-19,legacy_yn,1975,013,00:28:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-08916,H,exact_year_doy_start_minute_match
YN-SMQ-20,legacy_yn,1975,044,22:05:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-09013,H,exact_year_doy_start_minute_match
YN-SMQ-21,legacy_yn,1975,127,06:40:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S16,levent-09231,H,exact_year_doy_start_minute_match
YN-SMQ-22,legacy_yn,1975,147,23:32:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-09287,H,exact_year_doy_start_minute_match
YN-SMQ-23,legacy_yn,1975,314,07:56:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-09806,H,exact_year_doy_start_minute_match
YN-SMQ-24,legacy_yn,1976,004,11:20:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-09980,H,exact_year_doy_start_minute_match
YN-SMQ-25,legacy_yn,1976,012,08:22:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S15;S16,levent-10005,H,exact_year_doy_start_minute_match
YN-SMQ-26,legacy_yn,1976,066,10:16:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-10171,H,exact_year_doy_start_minute_match
YN-SMQ-27,legacy_yn,1976,068,14:44:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14;S15;S16,levent-10184,H,exact_year_doy_start_minute_match
YN-SMQ-28,legacy_yn,1976,137,12:36:00,S14;S15;S16,all_onodera_sp_stations_for_legacy_coverage_audit,S14,levent-10500,H,exact_year_doy_start_minute_match
KO-SMQ-1,new_ko,1971,334,01:07:57,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-2,new_ko,1972,005,22:42:33,S14;S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-3,new_ko,1972,154,16:49:07,S15;S14,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-4,new_ko,1972,170,19:34:31,S14;S15;S16,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-5,new_ko,1972,176,12:27:49,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-6,new_ko,1972,255,00:54:27,S14;S15;S16,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-7,new_ko,1972,298,14:25:25,S14,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-8,new_ko,1973,129,11:02:13,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-9,new_ko,1973,168,12:59:43,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-10,new_ko,1973,226,19:10:25,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-11,new_ko,1973,236,04:07:35,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-12,new_ko,1973,257,04:31:37,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-13,new_ko,1973,287,23:07:04,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-14,new_ko,1973,294,20:23:02,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-15,new_ko,1973,307,17:37:13,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-16,new_ko,1973,346,08:39:31,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-17,new_ko,1973,360,07:37:04,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-18,new_ko,1973,363,08:50:41,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-19,new_ko,1974,172,19:17:30,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-20,new_ko,1974,187,18:44:53,S14,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-21,new_ko,1974,242,10:47:49,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-22,new_ko,1974,245,17:59:37,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-23,new_ko,1974,338,03:43:17,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-24,new_ko,1975,029,09:57:38,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-25,new_ko,1975,078,03:05:53,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-26,new_ko,1975,082,21:10:13,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-27,new_ko,1975,093,05:21:57,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-28,new_ko,1975,304,04:03:28,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-29,new_ko,1975,325,16:10:49,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-30,new_ko,1976,002,12:28:19,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-31,new_ko,1976,018,13:20:35,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-32,new_ko,1976,044,20:44:14,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-33,new_ko,1976,060,21:09:51,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-34,new_ko,1976,093,09:39:05,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-35,new_ko,1976,175,19:26:18,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-36,new_ko,1976,206,17:24:10,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-37,new_ko,1976,220,00:18:59,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-38,new_ko,1976,220,15:19:07,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-39,new_ko,1976,269,22:22:25,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-40,new_ko,1976,337,12:45:41,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-41,new_ko,1977,008,16:20:31,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-42,new_ko,1977,050,10:21:24,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-43,new_ko,1977,169,15:37:25,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-44,new_ko,1977,179,02:13:40,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-45,new_ko,1977,183,02:01:29,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
KO-SMQ-46,new_ko,1977,207,18:19:45,S15,corrected_onodera_table_a1_station_field,,,,new_no_pds_same_start_minute
